sample_id,sample_name,sample,control_status,fastq_filepath,raw_total_sequences,reads_mapped,error_rate,average_quality,percent_mapped,percent_peptides_detected,percent_peptides_between_10_and_100
161,VS56_167_rep2_S359_R1_001,VS56_167,empirical,VS56_167_rep2_S359_R1_001.fastq.gz,1341637,57973,0.001844652,33.5,4.32106449061855,81.5060588574726,30.049047893825737
162,VS56_168_rep1_S312_R1_001,VS56_168,empirical,VS56_168_rep1_S312_R1_001.fastq.gz,2119959,425539,0.001966776,33.5,20.072982543530323,98.54298903635315,71.63877668782457
163,VS56_168_rep2_S360_R1_001,VS56_168,empirical,VS56_168_rep2_S360_R1_001.fastq.gz,1231243,136474,0.001952753,33.5,11.084245758148473,70.22504327755338,38.675706866705134
164,VS56_169_rep2_S361_R1_001,VS56_169,empirical,VS56_169_rep2_S361_R1_001.fastq.gz,1327914,64172,0.00182603,33.5,4.832541866416048,78.1736872475476,27.091748413156374
165,VS56_169_rep1_S313_R1_001,VS56_169,empirical,VS56_169_rep1_S313_R1_001.fastq.gz,1583634,90682,0.001702433,33.5,5.726196835885059,85.57414887478362,39.108482400461625
166,VS56_17_rep2_S65_R1_001,VS56_17,empirical,VS56_17_rep2_S65_R1_001.fastq.gz,923876,18339,0.001916135,33.5,1.985006645913521,53.46220427005194,7.674552798615118
167,VS56_17_rep1_S17_R1_001,VS56_17,empirical,VS56_17_rep1_S17_R1_001.fastq.gz,1065472,23615,0.00186661,33.4,2.2163886052378663,67.7005193306405,9.636468551644548
168,VS56_170_rep2_S362_R1_001,VS56_170,empirical,VS56_170_rep2_S362_R1_001.fastq.gz,1122493,63541,0.001783415,33.5,5.660703452048253,76.73110213502596,27.726485862665896
169,VS56_170_rep1_S314_R1_001,VS56_170,empirical,VS56_170_rep1_S314_R1_001.fastq.gz,1461203,75452,0.001751577,33.5,5.163690466006434,81.20311598384305,32.31390652048471
170,VS56_171_rep2_S363_R1_001,VS56_171,empirical,VS56_171_rep2_S363_R1_001.fastq.gz,1194805,51495,0.00180134,33.5,4.309908311398094,71.17714945181766,24.63935372186959
171,VS56_171_rep1_S315_R1_001,VS56_171,empirical,VS56_171_rep1_S315_R1_001.fastq.gz,1564957,62574,0.001859878,33.5,3.9984485196717863,88.60357761107906,33.38141950375072
172,VS56_172_rep2_S364_R1_001,VS56_172,empirical,VS56_172_rep2_S364_R1_001.fastq.gz,1223013,35150,0.001733144,33.5,2.8740495808302935,61.266589728793996,13.574725908828622
173,VS56_172_rep1_S316_R1_001,VS56_172,empirical,VS56_172_rep1_S316_R1_001.fastq.gz,1378161,48840,0.001873055,33.5,3.5438530041120013,66.69070975187536,23.413156376226198
174,VS56_173_rep1_S317_R1_001,VS56_173,empirical,VS56_173_rep1_S317_R1_001.fastq.gz,1376962,44459,0.001722036,33.5,3.228774650280836,70.67224466243508,21.451240623196767
175,VS56_173_rep2_S365_R1_001,VS56_173,empirical,VS56_173_rep2_S365_R1_001.fastq.gz,1309337,40318,0.001908825,33.5,3.0792683625376815,74.75476053087132,19.48932487016734
